protocol,fold,queue,rows,positives,top10_capture,auc,pr_auc,brier,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,severe_cases_per_100_reviews,evidence_supported_cases_per_100_reviews
airport,2025_06_to_2025_07,XGBoost score + PE-KB evidence,209836,15289,0.9306037020079796,0.9908372989439331,0.9091424502113997,0.018574633382858616,20984,14228,13775,0.9681613719426483,67.80404117422799,65.64525352649638
airport,2025_06_to_2025_07,CatBoost score + PE-KB evidence,209836,15289,0.9298188239911047,0.9904586335030803,0.8997361937751437,0.0188464134614607,20984,14216,13774,0.9689082723691615,67.7468547464735,65.64048799085018
airport,2025_07_to_2025_08,PE-KB queue,202861,9901,0.9681850318149682,0.9902621480748129,0.8740466866509762,0.014191101448229215,20287,9586,9131,0.9525349467974129,47.251934736530785,45.009119140336175
airport,2025_07_to_2025_08,LightGBM score + PE-KB evidence,202861,9901,0.9814160185839814,0.9941772799261612,0.9194109955117843,0.0118892672086475,20287,9717,9113,0.9378408973963157,47.89766845763297,44.920392369497705
airport,2025_07_to_2025_08,XGBoost score + PE-KB evidence,202861,9901,0.9784870215129785,0.9933282503103276,0.9102370045029887,0.01228102399010561,20287,9688,9104,0.9397192402972749,47.754719771282105,44.876028984078474
airport,2025_07_to_2025_08,CatBoost score + PE-KB evidence,202861,9901,0.9762650237349763,0.9933913537868179,0.907805687548717,0.012261066359875984,20287,9666,9113,0.9427891578729568,47.646275940257304,44.920392369497705
airport,2025_08_to_2025_09,PE-KB queue,197439,5764,0.9755378209576683,0.9902864059466262,0.8525076686150964,0.009431625677426936,19744,5623,5389,0.9583852036279566,28.47953808752026,27.29436790923825
airport,2025_08_to_2025_09,LightGBM score + PE-KB evidence,197439,5764,0.989764052741152,0.9949775238327295,0.903924284191836,0.0076653321009466655,19744,5705,5382,0.9433829973707274,28.894854132901134,27.258914100486223
airport,2025_08_to_2025_09,XGBoost score + PE-KB evidence,197439,5764,0.9875086745315753,0.9948148599036564,0.9005923041847919,0.007527471421636347,19744,5692,5382,0.9455375966268447,28.829011345218802,27.258914100486223
airport,2025_08_to_2025_09,CatBoost score + PE-KB evidence,197439,5764,0.9887231089521166,0.9949633965768196,0.895056255657341,0.007668672849729372,19744,5699,5387,0.945253553254957,28.864465153970826,27.284238249594814
airport,2025_09_to_2025_10,PE-KB queue,215205,8120,0.9699507389162562,0.9888570475867756,0.8516299386831707,0.012843923352749736,21521,7876,7542,0.9575926866429659,36.59681241577994,35.044839923795365
airport,2025_09_to_2025_10,LightGBM score + PE-KB evidence,215205,8120,0.9901477832512315,0.9936801417542189,0.9000432958499308,0.009633786263513489,21521,8040,7563,0.9406716417910448,37.35885878908972,35.14241903257284
airport,2025_09_to_2025_10,XGBoost score + PE-KB evidence,215205,8120,0.9880541871921182,0.9938307560577858,0.8961736231811911,0.009807298680915599,21521,8023,7564,0.9427894802442977,37.279866177222246,35.147065656800336
airport,2025_09_to_2025_10,CatBoost score + PE-KB evidence,215205,8120,0.9870689655172413,0.9940448741271491,0.8895129192406486,0.01010236141252312,21521,8015,7568,0.9442295695570805,37.24269318340226,35.165652153710326
airport,2025_10_to_2025_11,PE-KB queue,193041,8690,0.9499424626006905,0.98238225969087,0.8690701705850976,0.01273069876904997,19305,8255,7979,0.9665657177468201,42.76094276094276,41.33126133126133
airport,2025_10_to_2025_11,LightGBM score + PE-KB evidence,193041,8690,0.9838895281933256,0.9944947943808023,0.9199134628097444,0.010949893009204785,19305,8550,7981,0.9334502923976609,44.28904428904429,41.34162134162134
