split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_08_to_2025_09,No prototype affinity,False,True,True,True,True,0,0,1.0,19,363977,11393,0.9972790309839376,0.31216000879169187,0.9972829987563083,0.9261604741053993,0.008161959060075111
2025_08_to_2025_09,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,363977,11393,0.9959624330729395,0.31174789823616683,0.9970448541215908,0.922647303549649,0.00806380229822026
2025_08_to_2025_09,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,363977,11393,0.9828842271570263,0.30765426671795154,0.9898269560132225,0.822920476462039,0.012829559167242542
2025_08_to_2025_09,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,363977,11393,0.9964012990432722,0.31188526842134184,0.9970408687987632,0.9220073247078571,0.011804091591416325
2025_09_to_2025_10,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,396028,16316,0.9934420201029664,0.40928717521399893,0.9959890607160258,0.9166902876167553,0.010234805556855658
2025_09_to_2025_10,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,396028,16316,0.9939936258886982,0.4095144307249451,0.9960606985217674,0.9160371570978114,0.010212248400335683
2025_09_to_2025_10,No prototype affinity,False,True,True,True,True,0,0,1.0,19,396028,16316,0.9954645746506496,0.41012044542080145,0.9964717775987908,0.9224272246068633,0.010301524208550872
2025_09_to_2025_10,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,396028,16316,0.9929517038489826,0.40908517031538016,0.9959756871236499,0.9154658761292297,0.010386911372669257
2025_09_to_2025_10,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,396028,16316,0.9783035057612159,0.4030502739691437,0.9885031190023704,0.8136194774406917,0.01618090731578055
2025_09_to_2025_10,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,396028,16316,0.9934420201029664,0.40928717521399893,0.9959890607160258,0.9166902876167553,0.015121008692406804
2025_10_to_2025_11,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,356333,16607,0.9927139158186307,0.46264803277768424,0.9959047335169094,0.9255156849422754,0.012641671423848007
2025_10_to_2025_11,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,356333,16607,0.9923526223881496,0.46247965426278276,0.9959619247151886,0.9257039137910538,0.01263715170856405
2025_10_to_2025_11,No prototype affinity,False,True,True,True,True,0,0,1.0,19,356333,16607,0.9932558559643524,0.46290060055003646,0.9963003080247894,0.9288728895446241,0.012427692032485053
2025_10_to_2025_11,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,356333,16607,0.992171975672909,0.46239546500533196,0.9958456401874771,0.9256426677331813,0.012464444452592014
2025_10_to_2025_11,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,356333,16607,0.9782621785993858,0.4559128921816243,0.9887426885283986,0.8395980981222981,0.01831693543813814
2025_10_to_2025_11,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,356333,16607,0.9927139158186307,0.46264803277768424,0.9959047335169094,0.9255156849422754,0.01740626139783248
2025_11_to_2025_12,Full SDS-KB,True,True,True,True,True,5,4500,1.0,24,362076,21431,0.979702300405954,0.5798718515245249,0.9930663631336322,0.8995664035402097,0.01737988171998572
2025_11_to_2025_12,No simulated severe store,True,True,False,True,True,5,4500,0.0,24,362076,21431,0.9803555597032336,0.5802585064074238,0.9932078592483743,0.8995715262552495,0.01725161876570346
2025_11_to_2025_12,No prototype affinity,False,True,True,True,True,0,0,1.0,19,362076,21431,0.9818953851896784,0.5811699072028281,0.9936181643937556,0.903081713496364,0.017240201891296415
2025_11_to_2025_12,No fuzzy concepts,True,False,True,True,True,5,4500,1.0,16,362076,21431,0.9792823480005599,0.5796232876712328,0.9931754875019061,0.9003073993125233,0.017277379051469612
2025_11_to_2025_12,Prototype-only scorer,True,True,False,False,True,5,4500,0.0,24,362076,21431,0.9473193038122346,0.5607048166151127,0.982515396825141,0.7846483591885017,0.026878181756485722
2025_11_to_2025_12,No monotone calibration,True,True,True,True,False,5,4500,1.0,24,362076,21431,0.979702300405954,0.5798718515245249,0.9930663631336322,0.8995664035402097,0.02417148952350963
