split,variant,use_prototypes,use_fuzzy,use_simulation,use_tree,use_calibration,neighbors,max_proto,simulation_multiplier,feature_count,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier
2025_02_to_2025_03,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,378077,15495,0.9923846402065183,0.40671286500211595,0.9952401003893753,0.9000452388769306,0.01073513472946565
2025_02_to_2025_03,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,378077,15495,0.9921264924169086,0.4066070672873466,0.9949275696906413,0.8985490224024745,0.010673104849279552
2025_03_to_2025_04,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,372996,15580,0.9934531450577664,0.4149597855227882,0.9958239729525719,0.9137040516483572,0.010785610709908775
2025_03_to_2025_04,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,372996,15580,0.9930680359435173,0.414798927613941,0.9957414408356509,0.9131949824406764,0.01101691495438024
2025_03_to_2025_04,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,372996,15580,0.9924903722721438,0.41455764075067025,0.995677894121672,0.9109619103106733,0.011032705400601271
2025_03_to_2025_04,Prototype neighbors 1,True,True,True,True,True,1,4500,1.0,24,372996,15580,0.9936456996148909,0.4150402144772118,0.9958833710935515,0.9149313944210046,0.010028292196671135
2025_03_to_2025_04,Prototype neighbors 3,True,True,True,True,True,3,4500,1.0,24,372996,15580,0.9931322207958921,0.41482573726541555,0.9956304215455147,0.9101662340250809,0.010846106254208999
2025_03_to_2025_04,Prototype neighbors 10,True,True,True,True,True,10,4500,1.0,24,372996,15580,0.9929396662387676,0.41474530831099193,0.9958960756774708,0.9151092487833494,0.010785492571322821
2025_03_to_2025_04,Prototype store 1500,True,True,True,True,True,5,1500,1.0,24,372996,15580,0.993966623876765,0.41517426273458446,0.9959016282986053,0.9169735704124068,0.010752533777496156
2025_03_to_2025_04,Prototype store 3000,True,True,True,True,True,5,3000,1.0,24,372996,15580,0.993581514762516,0.4150134048257373,0.9958909981358709,0.9147149418114333,0.010730304281406514
2025_04_to_2025_05,Simulation multiplier 0.5,True,True,True,True,True,5,4500,0.5,24,388315,19642,0.9897159148762855,0.5006180469715699,0.9952694996961549,0.9188189405681717,0.012537287690107634
2025_04_to_2025_05,Simulation multiplier 1,True,True,True,True,True,5,4500,1.0,24,388315,19642,0.9890540678138683,0.5002832715286362,0.9952297669763185,0.918736893942095,0.01272560743437936
2025_04_to_2025_05,Simulation multiplier 1.5,True,True,True,True,True,5,4500,1.5,24,388315,19642,0.9893595356888301,0.5004377832715287,0.9950844339481152,0.9159561959090757,0.01288832616519382
