split,variant,rows,positives,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,evidence_supported_cases_per_100_reviews,severe_cases_per_100_reviews,margin_gap,top10_margin_lift,prototype_delay_gap,unique_supported_severe_prototypes,unique_supported_prototypes_per_100_supported,score_top10_capture,score_auc,score_pr_auc,score_brier
2025_07_to_2025_08,Full SDS-KB,375518,18515,37552,18322,17700,0.9660517410763018,47.134639965913934,48.79100979974435,2.1438548921528575,1.3901073613265287,59.0,4061,22.943502824858758,0.9895760194436943,0.9954205986913246,0.9234062396781871,0.013852057307065142
2025_07_to_2025_08,No simulated severe store,375518,18515,37552,18343,17698,0.9648367224554326,47.12931401789518,48.846932253941205,2.1438548921528575,1.415650038604867,59.0,4059,22.9347948920782,0.9907102349446395,0.9956584798228915,0.9252256830492626,0.01355847957763919
2025_07_to_2025_08,No prototype affinity in scorer,375518,18515,37552,18363,17699,0.9638403311005826,47.13197699190456,48.900191734128676,2.1438548921528575,1.4403549482744644,59.0,4057,22.922198994293463,0.9917904401836349,0.9957649464679708,0.9261208800687114,0.01350914541258053
2025_07_to_2025_08,No fuzzy concepts,375518,18515,37552,18327,17679,0.9646423309870683,47.07871751171709,48.80432466979122,1.318908813035058,0.8836362061381857,58.0,4016,22.71621698059845,0.9898460707534431,0.9953863847638501,0.9220516155111382,0.0137060260302291
2025_08_to_2025_09,Full SDS-KB,363977,11393,36398,11352,11020,0.970754052149401,30.27638881257212,31.188526842134184,2.6979718010441505,2.5319363991599215,57.0,3659,33.203266787658805,0.9964012990432722,0.9970408687987632,0.9220073247078571,0.008211084544917058
2025_08_to_2025_09,No simulated severe store,363977,11393,36398,11358,11020,0.9702412396548689,30.27638881257212,31.205011264355186,2.6979718010441505,2.569607491677754,57.0,3659,33.203266787658805,0.9969279382076713,0.9972028270259522,0.9254589583480716,0.007905031378109734
2025_08_to_2025_09,No prototype affinity in scorer,363977,11393,36398,11362,11020,0.9698996655518395,30.27638881257212,31.216000879169187,2.6979718010441505,2.6338136462056307,57.0,3659,33.203266787658805,0.9972790309839376,0.9972829987563083,0.9261604741053993,0.008161959060075111
2025_08_to_2025_09,No fuzzy concepts,363977,11393,36398,11347,11017,0.9709174231074292,30.26814660146162,31.17478982361668,1.6723955779321824,1.4747022320693697,57.0,3629,32.940001815376235,0.9959624330729395,0.9970448541215908,0.922647303549649,0.00806380229822026
2025_09_to_2025_10,Full SDS-KB,396028,16316,39603,16209,15768,0.9727928928373126,39.81516551776381,40.928717521399896,3.0532379080754155,2.6428046934937237,53.0,3957,25.095129375951295,0.9934420201029664,0.9959890607160258,0.9166902876167553,0.010234805556855658
2025_09_to_2025_10,No simulated severe store,396028,16316,39603,16218,15769,0.9723147120483413,39.81769057899654,40.951443072494506,3.0532379080754155,2.6607952474098417,53.0,3957,25.093537954213964,0.9939936258886982,0.9960606985217674,0.9160371570978114,0.010212248400335683
2025_09_to_2025_10,No prototype affinity in scorer,396028,16316,39603,16242,15767,0.970754833148627,39.81264045653107,41.01204454208015,3.0532379080754155,2.7175479450032936,53.0,3956,25.09037863892941,0.9954645746506496,0.9964717775987908,0.9224272246068633,0.010301524208550872
2025_09_to_2025_10,No fuzzy concepts,396028,16316,39603,16201,15737,0.9713597926053947,39.73688861954902,40.90851703153802,1.8218863474904734,1.5181492773187615,53.0,3973,25.24623498760882,0.9929517038489826,0.9959756871236499,0.9154658761292297,0.010386911372669257
2025_10_to_2025_11,Full SDS-KB,356333,16607,35634,16486,16081,0.9754337013223341,45.12824830218331,46.26480327776842,3.1427344134221427,2.8566375075036317,58.0,4032,25.0730675952988,0.9927139158186307,0.9959047335169094,0.9255156849422754,0.012641671423848007
2025_10_to_2025_11,No simulated severe store,356333,16607,35634,16480,16080,0.9757281553398058,45.12544199360162,46.24796542627827,3.1427344134221427,2.877511302855161,58.0,4032,25.074626865671643,0.9923526223881496,0.9959619247151886,0.9257039137910538,0.01263715170856405
2025_10_to_2025_11,No prototype affinity in scorer,356333,16607,35634,16495,16074,0.9744771142770536,45.10860414211147,46.29006005500365,3.1427344134221427,2.9319457471004435,58.0,4032,25.083986562150056,0.9932558559643524,0.9963003080247894,0.9288728895446241,0.012427692032485053
2025_10_to_2025_11,No fuzzy concepts,356333,16607,35634,16477,16110,0.9777265278873581,45.209631251052365,46.2395465005332,1.9493412481309718,1.5914388168116436,58.0,4033,25.034140285536935,0.992171975672909,0.9958456401874771,0.9256426677331813,0.012464444452592014
2025_11_to_2025_12,Full SDS-KB,362076,21431,36208,20996,20592,0.980758239664698,56.87140963323022,57.9871851524525,2.8805166617489073,1.4598685353025256,58.0,4101,19.915501165501166,0.979702300405954,0.9930663631336322,0.8995664035402097,0.01737988171998572
