split,model,bin,bin_low,bin_high,rows,mean_pred,observed_rate
2025_03_to_2025_04,SDS-KB,0,0.0,0.06666666666666667,346450,0.002021186973314625,0.0007677875595324
2025_03_to_2025_04,SDS-KB,1,0.06666666666666667,0.13333333333333333,1366,0.0808393946145894,0.038799414348462666
2025_03_to_2025_04,SDS-KB,2,0.13333333333333333,0.2,2983,0.1990541021736597,0.07073416024136775
2025_03_to_2025_04,SDS-KB,3,0.2,0.26666666666666666,1,0.2446059069269599,0.0
2025_03_to_2025_04,SDS-KB,4,0.26666666666666666,0.3333333333333333,299,0.31589880055523556,0.11705685618729098
2025_03_to_2025_04,SDS-KB,5,0.3333333333333333,0.4,1528,0.33333333333333337,0.11780104712041885
2025_03_to_2025_04,SDS-KB,6,0.4,0.4666666666666667,1001,0.4160476473200106,0.2057942057942058
2025_03_to_2025_04,SDS-KB,7,0.4666666666666667,0.5333333333333333,105,0.5007471912404786,0.23809523809523808
2025_03_to_2025_04,SDS-KB,8,0.5333333333333333,0.6,1562,0.573417524711304,0.2919334186939821
2025_03_to_2025_04,SDS-KB,9,0.6,0.6666666666666666,1650,0.6547706408666868,0.4072727272727273
2025_03_to_2025_04,SDS-KB,10,0.6666666666666666,0.7333333333333333,766,0.6851945944751757,0.5013054830287206
2025_03_to_2025_04,SDS-KB,11,0.7333333333333333,0.8,1407,0.7642919346628021,0.5813788201847904
2025_03_to_2025_04,SDS-KB,12,0.8,0.8666666666666667,125,0.821196770394416,0.728
2025_03_to_2025_04,SDS-KB,13,0.8666666666666667,0.9333333333333333,3011,0.9098395040311537,0.7286615742278313
2025_03_to_2025_04,SDS-KB,14,0.9333333333333333,1.0,10742,0.9776622042566679,0.9299013219139824
2025_04_to_2025_05,SDS-KB,0,0.0,0.06666666666666667,353788,0.002315470223190434,0.0008168733817992696
2025_04_to_2025_05,SDS-KB,1,0.06666666666666667,0.13333333333333333,2923,0.07795936556189338,0.03318508381799521
2025_04_to_2025_05,SDS-KB,2,0.13333333333333333,0.2,3686,0.18375348774205164,0.06619641888225719
2025_04_to_2025_05,SDS-KB,3,0.2,0.26666666666666666,1971,0.22431721795441525,0.12125824454591577
2025_04_to_2025_05,SDS-KB,4,0.26666666666666666,0.3333333333333333,187,0.28606034561864035,0.16042780748663102
2025_04_to_2025_05,SDS-KB,5,0.3333333333333333,0.4,7,0.37071369529058185,0.14285714285714285
2025_04_to_2025_05,SDS-KB,6,0.4,0.4666666666666667,204,0.42884399542198504,0.14215686274509803
